vault_address,vault_name,timestamp,date,total_assets_usd,prev_total_assets_usd,net_flow_usd,net_flow_pct,is_withdrawal
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1756771200,2025-09-02,7224.9563711061,7224.252940276521,0.7034308295787923,0.009737073651685668,False
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1756857600,2025-09-03,7225.051376059318,7224.9563711061,0.09500495321753988,0.0013149553898689516,False
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1756944000,2025-09-04,7224.8891653468,7225.051376059318,-0.16221071251766261,-0.002245115004374342,True
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1757030400,2025-09-05,7226.083506877422,7224.8891653468,1.194341530622296,0.016530932216244826,False
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1757116800,2025-09-06,7226.4336536878845,7226.083506877422,0.35014681046232,0.0048455959598179,False
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1757203200,2025-09-07,7226.4623674102,7226.4336536878845,0.02871372231584246,0.0003973429175702584,False
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1757289600,2025-09-08,7227.162824969435,7226.4623674102,0.7004575592345645,0.009692952424321454,False
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1757376000,2025-09-09,7227.042480302067,7227.162824969435,-0.12034466736804461,-0.0016651716625542274,True
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1757462400,2025-09-10,7226.4045451464,7227.042480302067,-0.6379351556670372,-0.008827056951799923,True
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1757548800,2025-09-11,7226.647041458122,7226.4045451464,0.24249631172187947,0.003355697985172331,False
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1757635200,2025-09-12,7226.67920664833,7226.647041458122,0.03216519020861597,0.00044509147913395245,False
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1757721600,2025-09-13,7225.826313510112,7226.67920664833,-0.8528931382179508,-0.0118020063410773,True
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1757808000,2025-09-14,7226.2455321712705,7225.826313510112,0.4192186611580837,0.005801670881214948,False
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1757894400,2025-09-15,7226.849287195808,7226.2455321712705,0.6037550245373495,0.00835503058745278,False
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1757980800,2025-09-16,7227.525445226543,7226.849287195808,0.6761580307347685,0.009356193880129112,False
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,1758067200,2025-09-17,7227.783713088201,7227.525445226543,0.25826786165816884,0.0035733926309279647,False
